# id X_IMAGE Y_IMAGE X_WORLD Y_WORLD FLUX_AUTO_160 FLUXERR_AUTO_160 FLUX_RADIUS_1 FLUX_RADIUS_2 EA_ERR_105 EA_ERR_125 EA_ERR_140 EA_ERR_160 EA_ERR_435 EA_ERR_606 EA_ERR_814 EA_ERR_K FLUXERR_APER_606 FLUXERR_APER_125 FLUXERR_APER_140 FLUXERR_APER_814 FLUXERR_APER_K FLUXERR_APER_435 FLUXERR_APER_160 FLUXERR_APER_105 FLUX_APER_606 FLUX_APER_125 FLUX_APER_140 FLUX_APER_814 FLUX_APER_K FLUX_APER_435 FLUX_APER_160 FLUX_APER_105
50 3272.2 3744.25 3.57173070206 -30.3768536494 0.337531 0.0109554 14.2082 18.2568 0.00457 0.00514 0.00294 0.00557 0.00415 0.00452 0.00351 0.02273 0.00307 0.00243 0.00234 0.00243 0.00583 0.00278 0.00221 0.00183 0.016 0.04533 0.04104 0.02584 0.07784 -0.00244 0.0478 0.04119
51 3263.48 3711.61 3.57189916598 -30.3773976022 10.177 0.0119297 6.88579 17.4604 0.00351 0.00364 0.00225 0.00422 0.00335 0.00323 0.00274 0.01774 0.00263 0.0024 0.00226 0.00261 0.00582 0.00229 0.00205 0.00171 0.99131 3.09401 3.45431 1.96736 5.39739 0.21318 3.7157 2.57108
52 2721.65 3745.02 3.58236677271 -30.3768412277 0.0304799 0.00567422 3.4461 4.69182 0.00536 0.00457 0.00344 0.00653 0.00323 0.0032 0.0026 0.01684 0.00234 0.00263 0.00269 0.0018 0.00582 0.00212 0.00268 0.00216 0.00292 0.01744 0.02613 0.00072 -0.04446 -0.00024 0.00812 0.02061
53 2817.6 3741.74 3.58051303734 -30.3768958643 0.0253742 0.00554151 2.20368 3.89824 0.0045 0.0049 0.00289 0.00614 0.00317 0.00317 0.00261 0.01692 0.00236 0.00261 0.00249 0.00181 0.00582 0.00213 0.00238 0.00198 0.01949 0.02266 0.02243 0.02332 0.10835 0.00562 0.02445 0.02949
54 2639.54 3728.68 3.58395300093 -30.3771135618 1.12298 0.100646 15.9512 27.6756 0.00486 0.00449 0.00312 0.00604 0.00325 0.00328 0.00259 0.0168 0.00236 0.00267 0.00253 0.00184 0.00583 0.00216 0.00243 0.00199 0.11702 0.20231 0.20943 0.12316 0.23102 0.1136 0.21044 0.18939
55 2645.18 3740.0 3.58384407166 -30.376924834 0.352455 0.025398 8.01502 11.2623 0.00716 0.00762 0.0046 0.00993 0.00334 0.00318 0.00258 0.01673 0.00233 0.0034 0.00485 0.00178 0.00582 0.00211 0.00486 0.00342 0.02262 0.05082 0.05419 0.02425 0.14476 0.01402 0.05778 0.04747
56 2653.19 3733.21 3.58368929714 -30.3770380773 1.03221 0.050825 14.8228 24.0062 0.00453 0.00507 0.00291 0.00665 0.00327 0.00316 0.00264 0.01712 0.00234 0.0026 0.00256 0.00182 0.00582 0.00212 0.00251 0.00203 0.06447 0.11625 0.17661 0.08612 0.32425 0.03778 0.21914 0.08837
57 2722.57 3737.73 3.58234899085 -30.3769627043 0.0122632 0.00417484 2.05924 3.34731 0.00446 0.00492 0.00287 0.00651 0.00321 0.00324 0.00258 0.01671 0.00236 0.00261 0.00249 0.00179 0.00581 0.00214 0.00239 0.00196 -0.00202 0.00922 0.00995 -0.00346 -0.00186 0.00553 0.00259 0.00084
58 2701.15 3736.57 3.58276264127 -30.3769820454 0.00660149 0.00475366 1.45099 2.11652 0.0049 0.0048 0.00315 0.00565 0.00331 0.00329 0.00261 0.01695 0.00233 0.0026 0.00251 0.00179 0.00582 0.00211 0.00239 0.00197 -0.00581 0.0061 0.0083 -0.00404 0.04958 -0.00139 0.00526 6e-05
59 2995.38 3734.07 3.57707851021 -30.37702369 0.0806781 0.00763614 5.86431 9.91067 0.00403 0.00353 0.00259 0.00498 0.00326 0.00344 0.0027 0.0175 0.00235 0.002 0.00206 0.00182 0.00582 0.00212 0.00201 0.00162 0.00327 0.03367 0.02584 0.034 0.10226 -0.0019 0.03115 0.03747
